SNo,Parameters,Recommendation
1,Throughput=715Mbps | Latency=11ms | Reliability=99.967% | Density=2533devices/km2 | Mobility=58km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
251,Throughput=779Mbps | Latency=5ms | Reliability=99.965% | Density=2826devices/km2 | Mobility=106km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
252,Throughput=680Mbps | Latency=8ms | Reliability=99.98% | Density=2524devices/km2 | Mobility=40km/h | Error  =Scale lag | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
253,Throughput=592Mbps | Latency=13ms | Reliability=99.97% | Density=3420devices/km2 | Mobility=111km/h | Error  =Scale lag | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
254,Throughput=804Mbps | Latency=11ms | Reliability=99.966% | Density=3104devices/km2 | Mobility=51km/h | Error  =QoS drift | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
255,Throughput=1030Mbps | Latency=8ms | Reliability=99.999% | Density=2156devices/km2 | Mobility=100km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
256,Throughput=1122Mbps | Latency=12ms | Reliability=99.997% | Density=3449devices/km2 | Mobility=91km/h | Error  =Low jitter | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
257,Throughput=670Mbps | Latency=4ms | Reliability=99.952% | Density=3704devices/km2 | Mobility=48km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
258,Throughput=900Mbps | Latency=14ms | Reliability=99.996% | Density=2136devices/km2 | Mobility=61km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
259,Throughput=604Mbps | Latency=14ms | Reliability=99.967% | Density=3694devices/km2 | Mobility=87km/h | Error  =Low jitter | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
260,Throughput=883Mbps | Latency=12ms | Reliability=99.974% | Density=3711devices/km2 | Mobility=91km/h | Error  =QoS drift | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
261,Throughput=1196Mbps | Latency=9ms | Reliability=99.953% | Density=2189devices/km2 | Mobility=105km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
262,Throughput=608Mbps | Latency=12ms | Reliability=99.97% | Density=2920devices/km2 | Mobility=64km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
263,Throughput=953Mbps | Latency=12ms | Reliability=99.988% | Density=2740devices/km2 | Mobility=70km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
264,Throughput=968Mbps | Latency=13ms | Reliability=99.957% | Density=3902devices/km2 | Mobility=57km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
265,Throughput=856Mbps | Latency=9ms | Reliability=99.989% | Density=3088devices/km2 | Mobility=54km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
266,Throughput=964Mbps | Latency=5ms | Reliability=99.952% | Density=2302devices/km2 | Mobility=55km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
267,Throughput=899Mbps | Latency=10ms | Reliability=99.965% | Density=3120devices/km2 | Mobility=98km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
268,Throughput=1012Mbps | Latency=8ms | Reliability=99.974% | Density=2460devices/km2 | Mobility=71km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
269,Throughput=614Mbps | Latency=9ms | Reliability=99.996% | Density=3110devices/km2 | Mobility=81km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
270,Throughput=776Mbps | Latency=10ms | Reliability=99.954% | Density=3982devices/km2 | Mobility=30km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
271,Throughput=797Mbps | Latency=15ms | Reliability=99.986% | Density=2622devices/km2 | Mobility=100km/h | Error  =Low jitter | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
272,Throughput=522Mbps | Latency=13ms | Reliability=99.974% | Density=2397devices/km2 | Mobility=93km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
273,Throughput=1073Mbps | Latency=13ms | Reliability=99.961% | Density=2691devices/km2 | Mobility=42km/h | Error  =Link drop | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
274,Throughput=931Mbps | Latency=7ms | Reliability=99.964% | Density=2539devices/km2 | Mobility=49km/h | Error  =Sync loss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
275,Throughput=1146Mbps | Latency=8ms | Reliability=99.993% | Density=2251devices/km2 | Mobility=87km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
276,Throughput=546Mbps | Latency=3ms | Reliability=99.987% | Density=3397devices/km2 | Mobility=65km/h | Error  =Radio load | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
277,Throughput=516Mbps | Latency=11ms | Reliability=99.987% | Density=2538devices/km2 | Mobility=46km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
278,Throughput=1157Mbps | Latency=10ms | Reliability=99.992% | Density=2132devices/km2 | Mobility=72km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
279,Throughput=987Mbps | Latency=10ms | Reliability=99.996% | Density=3130devices/km2 | Mobility=53km/h | Error  =Timing skew | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
280,Throughput=792Mbps | Latency=9ms | Reliability=99.993% | Density=3877devices/km2 | Mobility=110km/h | Error  =Scale lag | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
281,Throughput=915Mbps | Latency=13ms | Reliability=99.972% | Density=2239devices/km2 | Mobility=41km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
282,Throughput=599Mbps | Latency=15ms | Reliability=99.983% | Density=2207devices/km2 | Mobility=75km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
283,Throughput=892Mbps | Latency=3ms | Reliability=99.97% | Density=2870devices/km2 | Mobility=118km/h | Error  =Link drop | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
284,Throughput=800Mbps | Latency=11ms | Reliability=99.985% | Density=3319devices/km2 | Mobility=80km/h | Error  =Scale lag | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
285,Throughput=775Mbps | Latency=12ms | Reliability=99.995% | Density=2255devices/km2 | Mobility=59km/h | Error  =Radio load | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
286,Throughput=764Mbps | Latency=4ms | Reliability=99.956% | Density=2610devices/km2 | Mobility=32km/h | Error  =Low jitter | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
287,Throughput=990Mbps | Latency=12ms | Reliability=99.98% | Density=3185devices/km2 | Mobility=52km/h | Error  =Sync loss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
288,Throughput=859Mbps | Latency=15ms | Reliability=99.994% | Density=3574devices/km2 | Mobility=88km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
289,Throughput=578Mbps | Latency=12ms | Reliability=99.964% | Density=3280devices/km2 | Mobility=67km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
290,Throughput=765Mbps | Latency=8ms | Reliability=99.973% | Density=2489devices/km2 | Mobility=107km/h | Error  =Sync loss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
291,Throughput=1057Mbps | Latency=11ms | Reliability=99.977% | Density=3298devices/km2 | Mobility=30km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
292,Throughput=1091Mbps | Latency=6ms | Reliability=99.957% | Density=3680devices/km2 | Mobility=78km/h | Error  =Buffer warn | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
293,Throughput=874Mbps | Latency=3ms | Reliability=99.998% | Density=2104devices/km2 | Mobility=45km/h | Error  =Minor delay | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
294,Throughput=764Mbps | Latency=7ms | Reliability=99.988% | Density=2517devices/km2 | Mobility=107km/h | Error  =Sync loss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
295,Throughput=610Mbps | Latency=11ms | Reliability=99.983% | Density=2394devices/km2 | Mobility=52km/h | Error  =Low jitter | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
296,Throughput=740Mbps | Latency=6ms | Reliability=99.989% | Density=3275devices/km2 | Mobility=60km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
297,Throughput=566Mbps | Latency=6ms | Reliability=99.98% | Density=2632devices/km2 | Mobility=91km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
298,Throughput=1087Mbps | Latency=9ms | Reliability=99.99% | Density=2525devices/km2 | Mobility=53km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
299,Throughput=1060Mbps | Latency=3ms | Reliability=99.987% | Density=2050devices/km2 | Mobility=58km/h | Error  =Sync loss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
300,Throughput=1060Mbps | Latency=10ms | Reliability=99.986% | Density=2075devices/km2 | Mobility=74km/h | Error  =Policy miss | StdTag=TS 38.300,"TS 38.300 eMBB radio optimize, URLLC stable link, mMTC channel share"
